0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-49.26883223827756,-53.89871331729528,-48.27358785586078,-53.21557363658624,-53.52520424436999,-56.091957174653764,-57.29490843138385,-47.59325724125981,-51.42130467656047,-51.50886208656476,-53.95286611077632,-53.19698373427081,-55.40708773799881,-60.6211043354423,-47.57541232767144,-57.506094521950864,-54.61856529253954,-54.78899212287187,-55.53498410944184,-48.663329246429086,-52.98883120199717,-52.70770763038928,-56.88700016987163,-51.875189549601416,-47.248821897933404,-47.881807416069464,-53.18256794612992,-46.19075254592089
-48.16222654795138,-53.45499140101336,-48.056012832384816,-55.46193112309079,-54.097270169704665,-54.2766212257319,-56.77803491532802,-46.55176020267986,-49.14035480409981,-51.1370661089329,-56.53013339682215,-54.9133219800845,-54.713938514834716,-56.7291200634479,-47.40292906297585,-57.174324423122485,-54.6301584188272,-54.297337692150194,-52.443072056757906,-47.250416825035806,-51.51934322612191,-53.897181743975004,-54.83058080064687,-48.89896063434539,-48.04903177275708,-48.768671607028885,-53.9931280486993,-46.09307094027287
-49.69768421762818,-52.42638347008536,-48.34970974612762,-55.466377831279026,-53.687218953772344,-55.82903435844722,-55.30652885251039,-45.58550270908431,-51.329160787807076,-50.44888427634029,-55.22169473640505,-55.4512012396312,-57.19466501122602,-55.010295008862414,-47.49260709185882,-57.11677571938855,-53.90625371355901,-52.46706090463077,-54.36042783837652,-49.938080715113635,-53.3793884425055,-53.01769491166254,-55.751116442517,-50.58372967916311,-47.52865421962919,-51.98245676380388,-53.69134375532536,-45.71009365473851
-50.56226025621743,-53.94484993433276,-46.390558920711925,-54.017830856111836,-53.493849412500865,-54.33207376696541,-56.13316364351403,-45.65612300777984,-52.31712684032726,-49.58402347418257,-55.51505556134045,-53.40932090283912,-55.348586694184604,-56.549100120447065,-48.91108524675303,-57.86008447995088,-54.06766298658493,-54.05678232820742,-52.96996424645043,-48.73655728684353,-50.08401888496903,-66.4453531565117,-55.36390943621689,-50.55287096810447,-47.97421898396136,-49.40243635138941,-53.133349461563256,-45.179004542007526
-47.85982421597142,-54.40405210045529,-48.21624321810481,-53.79726569372882,-55.81939248562236,-55.40197984435806,-56.91297224658792,-45.07150511255811,-52.79574639530238,-50.12470379270895,-56.152374518554836,-53.107710164121926,-55.65117966670571,-58.93881438609581,-48.697638660805694,-57.20939038563426,-56.285764911259,-52.243956044745104,-53.59462183313674,-48.857393281398686,-51.92938576135313,-63.708751411300774,-55.996464798894095,-50.397935709941216,-46.40574324545986,-50.96548547863693,-55.860296743337386,-45.836938366243025
-50.99865787623693,-51.47112119587087,-49.40870504271744,-55.38089530647329,-55.12368406804066,-56.09898714140489,-57.30660362922673,-46.34101230582413,-51.68156725874812,-48.66091727453164,-56.04048750912907,-53.54799258351343,-54.79894554760966,-63.418353785284815,-48.142706408836574,-56.50559676236837,-54.145745408778645,-54.18053337443111,-52.3702267378519,-47.21401325679601,-51.09277236735993,-61.21839141282611,-56.04347060889335,-51.386628823943894,-46.61583945874255,-49.88241740184467,-54.65955921849411,-45.429316869648844
-49.261896688771024,-53.28647519458557,-47.20846219883413,-52.79059506749538,-54.20231575144701,-56.56023702585245,-55.33529307019819,-45.69611180131208,-52.63545425651078,-49.074406813766096,-55.446691869523235,-54.173202132614776,-55.46949076885554,-54.80248290797521,-48.32531525915471,-57.28890626027295,-55.969624972023794,-54.65877872165915,-53.69353322982211,-49.19707243891668,-52.11104639864191,-57.73334789718222,-54.42378506611964,-51.53671633554942,-46.80481890513658,-49.43242119544796,-53.87503627699269,-45.95647035580085
-49.51049677419797,-53.029835700305085,-47.016135811446226,-56.741555783664474,-54.73157835669744,-53.91897435571509,-56.15140600081662,-46.112143078472265,-53.25782065715286,-50.79462961296718,-55.74038286742038,-53.07094658659442,-54.83358238683158,-49.91872693417644,-47.946912649724545,-57.57052544193968,-56.10380588160845,-53.95913750787236,-54.7042869993367,-48.71487684355853,-50.13703384730531,-58.4979438155502,-55.75387662409583,-48.9401204395055,-47.078599226345325,-51.02472714801082,-54.17869771130797,-46.75342213995489
-49.958181099638985,-53.64031550938288,-46.684908413616974,-54.88933088743808,-55.419980367720484,-55.74333413780324,-55.323845634264885,-48.983966639138195,-51.60569704067004,-50.308896876673565,-56.62113934505979,-54.22127012873017,-54.4642358154277,-48.086066568804696,-48.267389400073405,-55.10070212885441,-55.95302282867432,-54.45847499894364,-53.301537076063845,-48.90859777179792,-50.304999354978605,-60.30247098726262,-53.88500508079934,-49.27091967796584,-49.119411342529126,-50.94664635894466,-54.99083220327508,-45.76211987537819
-49.89037116632012,-54.768577460486384,-47.73732682285747,-55.59775437032339,-53.508586396540096,-55.133513597166434,-58.5853711633022,-46.227257396878834,-51.10427070308253,-49.14045379930755,-54.83036579332396,-53.632475008292005,-53.5294965041575,-51.433698894771915,-48.31917965709078,-55.65381481970258,-53.7596062605127,-53.43673118846785,-54.32364219364952,-48.340551964437466,-51.355097763237836,-66.88196445995516,-55.775120894626866,-51.1990876485652,-49.38263485196157,-49.24064418460062,-53.59810243406913,-47.040897799377625
